Arquivo,Receita,Valor
receitas_abril_2015.csv,Descrição da Receita,Realizado
receitas_abril_2015.csv,CONVÊNIO PMC, 0.00
receitas_abril_2015.csv,ESTACIONAMENTO ROTATIVO, 3168.00
receitas_abril_2015.csv,MULTAS DE TRÂNSITO, 170296.41
receitas_abril_2015.csv,MULTAS DE TRANSPORTES, 1203.84
receitas_abril_2015.csv,OUTRAS RECEITAS, 81340.17
receitas_abril_2015.csv,PÁTIO DE VEÍCULOS, 38739.35
receitas_abril_2015.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2015.csv,TAXA DE GERENCIAMENTO INTERCAMP, 27886.16
receitas_abril_2015.csv,TAXA DE TAXI, 868.97
receitas_abril_2015.csv,VISTORIA DE VEÍCULOS, 2449.15
receitas_abril_2015.csv,Dia: 02/04/2015,
receitas_abril_2015.csv,Descrição da Receita,Realizado
receitas_abril_2015.csv,CONVÊNIO PMC, 0.00
receitas_abril_2015.csv,ESTACIONAMENTO ROTATIVO, 12816.00
receitas_abril_2015.csv,MULTAS DE TRÂNSITO, 180836.07
receitas_abril_2015.csv,MULTAS DE TRANSPORTES, 835.06
receitas_abril_2015.csv,OUTRAS RECEITAS, 838.00
receitas_abril_2015.csv,PÁTIO DE VEÍCULOS, 27246.05
receitas_abril_2015.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2015.csv,TAXA DE GERENCIAMENTO INTERCAMP, 28276.94
receitas_abril_2015.csv,TAXA DE TAXI, 2498.33
receitas_abril_2015.csv,VISTORIA DE VEÍCULOS, 329.47
receitas_abril_2015.csv,Dia: 03/04/2015,
receitas_abril_2015.csv,Descrição da Receita,Realizado
receitas_abril_2015.csv,CONVÊNIO PMC, 0.00
receitas_abril_2015.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2015.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2015.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2015.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2015.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2015.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2015.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2015.csv,TAXA DE TAXI, 0.00
receitas_abril_2015.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2015.csv,Dia: 04/04/2015,
receitas_abril_2015.csv,Descrição da Receita,Realizado
receitas_abril_2015.csv,CONVÊNIO PMC, 0.00
receitas_abril_2015.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2015.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2015.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2015.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2015.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2015.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2015.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2015.csv,TAXA DE TAXI, 0.00
receitas_abril_2015.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2015.csv,Dia: 05/04/2015,
receitas_abril_2015.csv,Descrição da Receita,Realizado
receitas_abril_2015.csv,CONVÊNIO PMC, 0.00
receitas_abril_2015.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2015.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2015.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2015.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2015.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2015.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2015.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2015.csv,TAXA DE TAXI, 0.00
receitas_abril_2015.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2015.csv,Dia: 06/04/2015,
receitas_abril_2015.csv,Descrição da Receita,Realizado
receitas_abril_2015.csv,CONVÊNIO PMC, 0.00
receitas_abril_2015.csv,ESTACIONAMENTO ROTATIVO, 10695.24
receitas_abril_2015.csv,MULTAS DE TRÂNSITO, 249705.90
receitas_abril_2015.csv,MULTAS DE TRANSPORTES, 1497.07
receitas_abril_2015.csv,OUTRAS RECEITAS, 100.37
receitas_abril_2015.csv,PÁTIO DE VEÍCULOS, 30064.58
receitas_abril_2015.csv,RECEITAS FINANCEIRAS, 38.52
receitas_abril_2015.csv,TAXA DE GERENCIAMENTO INTERCAMP, 51970.29
