Mês,Receita,Valor
receitas_abril_2018.csv,Descrição da Receita,Realizado
receitas_abril_2018.csv,CONVÊNIO PMC, 0.00
receitas_abril_2018.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2018.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2018.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2018.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2018.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2018.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2018.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2018.csv,TAXA DE TAXI, 0.00
receitas_abril_2018.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2018.csv,Dia: 02/04/2018,
receitas_abril_2018.csv,Descrição da Receita,Realizado
receitas_abril_2018.csv,CONVÊNIO PMC, 0.00
receitas_abril_2018.csv,ESTACIONAMENTO ROTATIVO, 3900.00
receitas_abril_2018.csv,MULTAS DE TRÂNSITO, 247878.57
receitas_abril_2018.csv,MULTAS DE TRANSPORTES, 604154.17
receitas_abril_2018.csv,OUTRAS RECEITAS, 32949.11
receitas_abril_2018.csv,PÁTIO DE VEÍCULOS, 36094.30
receitas_abril_2018.csv,RECEITAS FINANCEIRAS, 18.33
receitas_abril_2018.csv,TAXA DE GERENCIAMENTO INTERCAMP, 60601.72
receitas_abril_2018.csv,TAXA DE TAXI, 1953.01
receitas_abril_2018.csv,VISTORIA DE VEÍCULOS, 1845.55
receitas_abril_2018.csv,Dia: 03/04/2018,
receitas_abril_2018.csv,Descrição da Receita,Realizado
receitas_abril_2018.csv,CONVÊNIO PMC, 0.00
receitas_abril_2018.csv,ESTACIONAMENTO ROTATIVO, 19408.49
receitas_abril_2018.csv,MULTAS DE TRÂNSITO, 333241.49
receitas_abril_2018.csv,MULTAS DE TRANSPORTES, 3926.95
receitas_abril_2018.csv,OUTRAS RECEITAS, 21319.60
receitas_abril_2018.csv,PÁTIO DE VEÍCULOS, 31745.24
receitas_abril_2018.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2018.csv,TAXA DE GERENCIAMENTO INTERCAMP, 32361.66
receitas_abril_2018.csv,TAXA DE TAXI, 1608.02
receitas_abril_2018.csv,VISTORIA DE VEÍCULOS, 4172.72
receitas_abril_2018.csv,Dia: 04/04/2018,
receitas_abril_2018.csv,Descrição da Receita,Realizado
receitas_abril_2018.csv,CONVÊNIO PMC, 0.00
receitas_abril_2018.csv,ESTACIONAMENTO ROTATIVO, 10668.00
receitas_abril_2018.csv,MULTAS DE TRÂNSITO, 317586.74
receitas_abril_2018.csv,MULTAS DE TRANSPORTES, 2171.61
receitas_abril_2018.csv,OUTRAS RECEITAS, 27324.49
receitas_abril_2018.csv,PÁTIO DE VEÍCULOS, 35527.05
receitas_abril_2018.csv,RECEITAS FINANCEIRAS, 64.52
receitas_abril_2018.csv,TAXA DE GERENCIAMENTO INTERCAMP, 32285.88
receitas_abril_2018.csv,TAXA DE TAXI, 1217.24
receitas_abril_2018.csv,VISTORIA DE VEÍCULOS, 461.24
receitas_abril_2018.csv,Dia: 05/04/2018,
receitas_abril_2018.csv,Descrição da Receita,Realizado
receitas_abril_2018.csv,CONVÊNIO PMC, 0.00
receitas_abril_2018.csv,ESTACIONAMENTO ROTATIVO, 3492.00
receitas_abril_2018.csv,MULTAS DE TRÂNSITO, 293066.71
receitas_abril_2018.csv,MULTAS DE TRANSPORTES, 1993.31
receitas_abril_2018.csv,OUTRAS RECEITAS, 224.31
receitas_abril_2018.csv,PÁTIO DE VEÍCULOS, 30196.87
receitas_abril_2018.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2018.csv,TAXA DE GERENCIAMENTO INTERCAMP, 33035.81
receitas_abril_2018.csv,TAXA DE TAXI, 1762.61
receitas_abril_2018.csv,VISTORIA DE VEÍCULOS, 366.90
receitas_abril_2018.csv,Dia: 06/04/2018,
receitas_abril_2018.csv,Descrição da Receita,Realizado
receitas_abril_2018.csv,CONVÊNIO PMC, 0.00
receitas_abril_2018.csv,ESTACIONAMENTO ROTATIVO, 16200.00
receitas_abril_2018.csv,MULTAS DE TRÂNSITO, 208150.80
receitas_abril_2018.csv,MULTAS DE TRANSPORTES, 3698.98
